# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.443136884059987746e-01 -8.287969327650753781e-01 5.727795283511804314e+01 5.135131253780090286e-04 8.757309400000000000e+07 1.454514800000000000e+07 1.454514800000000000e+07 1.516899800000000000e+07
8.318373641252689854e-01 8.871645618784055332e-01 -1.376186942685169723e-01 2.324696576089663225e+01 2.632767105771050822e-04 1.695023000000000000e+08 5.493283600000000000e+07 5.493283600000000000e+07 5.770787800000000000e+07
1.641785957447399635e+00 1.747150895293216655e+00 5.404717219704329167e-01 1.015479161663133212e+01 1.365397002536764980e-04 3.961216000000000000e+08 1.995288860000000000e+08 1.995288860000000000e+08 2.145567100000000000e+08
3.240370349203930189e+00 3.460970322244285580e+00 1.223312331707048672e+00 1.504022338191130403e+00 7.262857932123221766e-05 8.533492180000000000e+08 6.582235670000000000e+08 6.582235670000000000e+08 7.583067000000000000e+08
6.395474362763517995e+00 6.822979425290109923e+00 1.901901000874089753e+00 -2.536230306820208114e+00 4.090042127348050756e-05 1.885764022000000000e+09 2.023255320000000000e+09 2.023255320000000000e+09 2.391136830000000000e+09
1.262265973234014460e+01 1.346761861387081538e+01 2.582580543306830290e+00 -2.313172899200752752e+00 2.691806773496584868e-05 4.456280608000000000e+09 5.027482484000000000e+09 5.027482484000000000e+09 5.520421366000000000e+09
2.491316979489749883e+01 2.159164498071010740e+01 3.065508459742388947e+00 5.072236607946509324e+00 3.704355013504135360e-05 4.147094804000000000e+09 3.393497558000000000e+09 3.393497558000000000e+09 2.914974692000000000e+09
