# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.474886884965598721e-01 -8.212771139710225432e-01 1.049360907461650783e+00 -1.168382548383587322e-01 0.000000000000000000e+00 8.950220000000000000e+05 1.422210000000000000e+05
8.318373641252689854e-01 8.876068631686271360e-01 -1.365298359855872390e-01 4.983713853851331477e-01 -3.555251810683680846e-02 0.000000000000000000e+00 1.892442000000000000e+06 5.463170000000000000e+05
1.641785957447399635e+00 1.740667344767998781e+00 5.368211515861054384e-01 4.066780304621412379e-01 -9.114537634306385527e-02 0.000000000000000000e+00 4.392126000000000000e+06 2.045629000000000000e+06
3.240370349203930189e+00 3.474285020509941369e+00 1.227754172321001258e+00 1.185962755374765087e-01 1.267133307278804633e-02 0.000000000000000000e+00 9.554386000000000000e+06 7.072554000000000000e+06
6.395474362763517995e+00 6.861120281334986970e+00 1.908472395203888006e+00 8.140635321008390934e-02 -3.561323836260659598e-02 0.000000000000000000e+00 2.438829500000000000e+07 2.173755700000000000e+07
1.262265973234014460e+01 1.308768875570036805e+01 2.553431522699662892e+00 2.257444105083672783e-02 -1.578554578300684144e-02 0.000000000000000000e+00 4.751344700000000000e+07 5.167477900000000000e+07
2.491316979489749883e+01 2.166986336355214604e+01 3.068020772825045484e+00 -4.263957392579934003e-02 1.832872173366347987e-02 0.000000000000000000e+00 3.298084900000000000e+07 2.998243000000000000e+07
