# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
3.036483558548271899e-01 3.424278948388484456e-01 -1.095385472225442580e+00 8.503265165196046693e-01 3.445178181666180284e-01 1.339601285927299879e-01 2.438000000000000000e+03 3.810000000000000000e+02
6.999271023161165450e-01 7.659076638900854661e-01 -2.918720896089756489e-01 6.439703810905680337e-01 -1.577473925364611743e-02 6.103520585672453369e-02 6.486000000000000000e+03 1.952000000000000000e+03
1.613372636836714502e+00 1.790718670424650050e+00 5.566280786678082793e-01 1.957459187137957912e-01 -5.737963962343996249e-02 2.650877934655636314e-02 1.933400000000000000e+04 9.083000000000000000e+03
3.718917665396877403e+00 4.086402806343074623e+00 1.380781486327425478e+00 1.843069048227335277e-02 2.832987589193118258e-02 1.244451895038206808e-02 5.203400000000000000e+04 4.089700000000000000e+04
8.572321289096395347e+00 9.282337057844669559e+00 2.200316622268053468e+00 4.091169606181851992e-02 2.492442033013019670e-02 6.436323308967053201e-03 1.340900000000000000e+05 1.518670000000000000e+05
1.975969862609290217e+01 1.881816953352194233e+01 2.915848005041757673e+00 -5.669582163011902855e-04 -1.547766257279690506e-02 5.629167108272085766e-03 2.128160000000000000e+05 2.242350000000000000e+05
