mean_SFR mean_SFR_spi mean_SFR_ell mean_SSFR mean_SSFR_spi mean_SSFR_ell mean_e mean_e_spi mean_e_ell std_e std_e_spi std_e_ell split_fracs
5.385091e-01 7.551250e-01 1.842629e-02 2.606563e-10 3.683231e-10 2.154240e-12 1.966193e-01 1.870829e-01 2.195157e-01 1.987617e-01 1.673145e-01 2.576886e-01 4.165029e-01
5.728348e-01 7.786251e-01 7.534169e-02 4.164042e-10 5.871988e-10 3.512558e-12 3.143893e-01 2.773913e-01 4.038311e-01 3.197485e-01 2.565051e-01 4.231230e-01 4.136546e-01
5.070879e-02 1.730074e-01 1.033455e-02 3.657528e-11 1.417687e-10 1.847966e-12 2.054767e-01 2.034681e-01 2.061398e-01 1.799936e-01 1.537495e-01 1.878496e-01 3.029126e+00
1.575690e-01 4.786176e-01 5.842542e-03 8.090797e-11 2.487506e-10 1.586106e-12 1.876986e-01 1.606839e-01 2.004657e-01 2.242609e-01 1.404039e-01 2.534501e-01 2.115970e+00
1.423944e+00 1.784617e+00 9.040437e-02 5.619747e-10 7.132244e-10 2.749136e-12 2.394052e-01 2.308436e-01 2.710606e-01 2.421406e-01 2.286585e-01 2.843017e-01 2.704626e-01
6.620937e-02 2.037954e-01 2.234552e-03 6.018878e-11 1.857970e-10 1.783391e-12 2.091225e-01 2.073911e-01 2.099276e-01 2.056177e-01 1.553618e-01 2.251932e-01 2.150628e+00
2.239021e-01 4.485229e-01 7.792407e-03 1.319880e-10 2.675471e-10 1.565434e-12 2.081400e-01 1.809325e-01 2.343165e-01 2.373491e-01 1.568974e-01 2.923237e-01 1.039384e+00
5.187583e-01 7.359712e-01 7.484712e-02 1.729274e-10 2.566210e-10 1.885513e-12 1.994445e-01 1.783072e-01 2.426423e-01 2.225007e-01 1.576699e-01 3.116043e-01 4.893162e-01
1.183164e-01 2.757428e-01 3.191648e-03 8.251726e-11 1.916893e-10 2.680525e-12 2.092058e-01 2.033578e-01 2.134824e-01 1.951304e-01 1.680358e-01 2.126696e-01 1.367442e+00
2.593943e-01 3.930930e-01 1.764838e-02 1.729264e-10 2.672762e-10 2.328945e-12 2.266146e-01 2.176160e-01 2.428854e-01 2.099840e-01 1.810072e-01 2.533137e-01 5.530547e-01
2.885752e-01 3.746952e-01 1.479057e-02 2.266787e-10 2.969435e-10 3.299511e-12 2.777977e-01 2.689936e-01 3.057867e-01 2.306752e-01 2.197184e-01 2.605179e-01 3.145540e-01
3.244207e-01 4.912269e-01 1.860947e-02 3.606845e-10 5.543731e-10 5.588799e-12 2.894487e-01 2.571798e-01 3.486086e-01 2.756095e-01 2.349205e-01 3.295990e-01 5.454545e-01
1.003058e-01 3.467077e-01 4.142990e-03 5.635043e-11 1.957793e-10 1.935815e-12 1.987332e-01 1.685914e-01 2.104966e-01 2.276861e-01 1.389336e-01 2.530745e-01 2.562341e+00
5.341984e-01 7.513524e-01 2.895352e-02 1.880505e-10 2.681362e-10 1.717873e-12 1.915776e-01 1.900834e-01 1.950540e-01 1.773809e-01 1.645617e-01 2.040724e-01 4.297994e-01
4.250925e-01 4.980590e-01 8.141189e-03 9.106347e-10 1.069017e-09 5.593194e-12 3.201024e-01 3.192523e-01 3.249605e-01 2.951704e-01 2.846370e-01 3.492807e-01 1.750000e-01
1.766233e+00 2.113933e+00 2.236183e-01 5.292111e-10 6.478474e-10 2.867161e-12 2.260557e-01 2.168067e-01 2.670899e-01 2.352042e-01 2.145561e-01 3.073418e-01 2.253968e-01
1.126361e+00 1.437817e+00 2.147823e-01 9.945241e-10 1.333475e-09 2.471681e-12 3.941488e-01 3.623677e-01 4.871665e-01 3.572639e-01 3.250685e-01 4.246473e-01 3.416667e-01
2.164593e-01 3.963088e-01 8.097172e-03 1.659361e-10 3.075653e-10 1.853467e-12 2.205845e-01 1.955359e-01 2.496043e-01 2.570299e-01 1.787045e-01 3.225446e-01 8.631579e-01
6.901895e-01 1.105034e+00 1.039333e-02 2.049272e-10 3.291373e-10 1.387011e-12 1.963877e-01 1.957134e-01 1.974927e-01 1.995665e-01 1.661253e-01 2.446722e-01 6.102484e-01
2.354072e-01 6.012562e-01 6.636902e-03 9.187182e-11 2.365178e-10 1.422758e-12 1.717894e-01 1.582517e-01 1.802547e-01 1.920195e-01 1.438642e-01 2.163317e-01 1.599198e+00
