# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.486777854320397885e-01 -8.187988806864083813e-01 8.982610065848177783e-01 -2.682542950984409535e-01 0.000000000000000000e+00 5.683600000000000000e+04 1.971200000000000000e+04
8.318373641252689854e-01 8.985721549124117136e-01 -1.242031565616578126e-01 1.403236634297725660e-01 1.747106658711373994e-01 0.000000000000000000e+00 1.378470000000000000e+05 7.473300000000000000e+04
1.641785957447399635e+00 1.771008787803299178e+00 5.546481869021859801e-01 1.083418083165100798e-01 1.676581600476869383e-01 0.000000000000000000e+00 4.026600000000000000e+05 2.751740000000000000e+05
3.240370349203930189e+00 3.472725354909009798e+00 1.227722884633632994e+00 2.821126273481491115e-03 -6.043667823683589180e-03 0.000000000000000000e+00 1.125479000000000000e+06 9.564200000000000000e+05
6.395474362763517995e+00 6.860083092013915085e+00 1.908160532804799026e+00 8.355729090241849344e-02 7.124741781100718541e-02 0.000000000000000000e+00 2.954732000000000000e+06 3.027655000000000000e+06
1.262265973234014460e+01 1.322691036904539885e+01 2.565181334086705789e+00 -3.026377974815217670e-02 -1.917693801986844124e-02 0.000000000000000000e+00 6.746011000000000000e+06 7.064409000000000000e+06
2.491316979489749883e+01 2.182720957627454084e+01 3.074900568658452293e+00 3.565233868941772820e-03 -2.646334316735575454e-02 0.000000000000000000e+00 3.741219000000000000e+06 3.885741000000000000e+06
