# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.461980707266351986e-01 -8.244941539084963411e-01 1.356557230050218776e-01 1.110505647563676812e-01 0.000000000000000000e+00 1.229100000000000000e+05 4.170200000000000000e+04
8.318373641252689854e-01 8.992636357071455144e-01 -1.228510150412571861e-01 1.060623354044455818e-01 -6.060280047642264273e-02 0.000000000000000000e+00 3.362950000000000000e+05 1.597570000000000000e+05
1.641785957447399635e+00 1.775895790179004452e+00 5.572690696437390123e-01 8.080119441472240205e-02 1.382488057136881943e-01 0.000000000000000000e+00 9.478990000000000000e+05 5.929280000000000000e+05
3.240370349203930189e+00 3.500215306021276618e+00 1.236229774140725102e+00 7.782032477898886969e-02 2.750361968064476970e-02 0.000000000000000000e+00 2.773463000000000000e+06 2.127942000000000000e+06
6.395474362763517995e+00 6.849779610762275261e+00 1.907075993175921358e+00 1.008603124271839485e-01 2.422675788667408639e-02 0.000000000000000000e+00 7.208119000000000000e+06 6.656234000000000000e+06
1.262265973234014460e+01 1.324314711544583822e+01 2.566262992462058801e+00 9.346154884549989772e-02 3.671579291966142744e-02 0.000000000000000000e+00 1.589701400000000000e+07 1.520420300000000000e+07
2.491316979489749883e+01 2.139717278942663725e+01 3.055185791142060125e+00 1.425202329746983188e-01 2.789443432727427286e-02 0.000000000000000000e+00 7.901641000000000000e+06 7.841735000000000000e+06
