# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.257098018462991407e-01 4.526131605526377277e-01 -8.107326935506462551e-01 1.492539070584552405e+02 2.247112735293608013e-02 2.497296000000000000e+06 2.574550000000000000e+05 2.723770000000000000e+05 2.935950000000000000e+05
8.572321289096397345e-01 9.047419246730595832e-01 -1.187990097404206524e-01 6.341271854700727317e+01 1.132139738941398237e-02 4.862216000000000000e+06 1.101445000000000000e+06 1.079964000000000000e+06 1.157941000000000000e+06
1.726168670883144962e+00 1.843667421652596561e+00 5.925391677921638678e-01 2.306344283037238796e+01 5.766942151802780143e-03 9.273015000000000000e+06 4.201542000000000000e+06 4.203674000000000000e+06 4.462044000000000000e+06
3.475905976749230408e+00 3.726907619427211937e+00 1.297123960248726782e+00 9.690374956256176731e+00 3.020234197917189695e-03 2.264980700000000000e+07 1.551062500000000000e+07 1.596168500000000000e+07 1.627161300000000000e+07
6.999271023161164784e+00 7.483460497702830061e+00 1.993520198596144155e+00 6.419479747139726911e-01 1.692444436125287556e-03 5.278665700000000000e+07 5.480632600000000000e+07 5.630523000000000000e+07 5.182534400000000000e+07
1.409410817880644551e+01 1.357781215651011486e+01 2.590959198531262331e+00 -5.687081707045727796e+00 1.156428188187263225e-03 8.486451200000000000e+07 1.030038620000000000e+08 1.026073620000000000e+08 1.109901350000000000e+08
