# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.479139911600222845e-01 -8.201937122391889101e-01 5.511996130958638673e+01 6.484967031605752205e-03 5.320040000000000000e+05 9.726900000000000000e+04 9.963700000000000000e+04 9.511400000000000000e+04
8.318373641252689854e-01 8.878936852721881490e-01 -1.360254083726339103e-01 2.754128838552124847e+01 3.314799252999928950e-03 1.199541000000000000e+06 3.460080000000000000e+05 3.758020000000000000e+05 3.640370000000000000e+05
1.641785957447399635e+00 1.760130392864468707e+00 5.481805017455235740e-01 1.415343713038109286e+01 1.724977805877555810e-03 2.929817000000000000e+06 1.356488000000000000e+06 1.403377000000000000e+06 1.344290000000000000e+06
3.240370349203930189e+00 3.450580391585689188e+00 1.220675592348337668e+00 5.360487582119956684e+00 9.139012672726459134e-04 6.928546000000000000e+06 5.021963000000000000e+06 4.996723000000000000e+06 4.789183000000000000e+06
6.395474362763517995e+00 6.837961263762232456e+00 1.904837617873379019e+00 2.272624719532114757e+00 5.155799792365907451e-04 1.789742300000000000e+07 1.599431300000000000e+07 1.602428500000000000e+07 1.504762300000000000e+07
1.262265973234014460e+01 1.325646032290753418e+01 2.567566067944564434e+00 1.447898648269317246e+00 3.395280792460973881e-04 3.888497100000000000e+07 3.558262100000000000e+07 3.642090800000000000e+07 3.469833200000000000e+07
2.491316979489749883e+01 2.116497878311308511e+01 3.045384085072897928e+00 -8.446901820823824458e-01 4.693265237377225690e-04 1.688146700000000000e+07 1.748952000000000000e+07 1.772566300000000000e+07 1.815974700000000000e+07
