# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
6.927090124407370153e-01 7.358523223815761627e-01 -3.221000078529027699e-01 8.063813727274649068e+01 3.092899818542354518e-01 2.200400000000000000e+04 3.972000000000000000e+03 3.972000000000000000e+03 4.238000000000000000e+03
1.329573974236247125e+00 1.416554819524968645e+00 3.325908795908534832e-01 4.331759693777652132e+01 1.604633939563200329e-01 5.062000000000000000e+04 1.403700000000000000e+04 1.403700000000000000e+04 1.576600000000000000e+04
2.551961821223750260e+00 2.690166588541934800e+00 9.733871490281287286e-01 1.954626654840582134e+01 8.722854505708391160e-02 9.954000000000000000e+04 4.739900000000000000e+04 4.739900000000000000e+04 5.335800000000000000e+04
4.898192400858816242e+00 5.192005890735495122e+00 1.630784432457428768e+00 9.511126571558015996e+00 4.879138757680465122e-02 1.949540000000000000e+05 1.378400000000000000e+05 1.378400000000000000e+05 1.704000000000000000e+05
9.401507732715986165e+00 9.765371041692727516e+00 2.261935277206000183e+00 -5.774442286179937156e-02 2.994425410057469095e-02 3.444900000000000000e+05 3.952240000000000000e+05 3.952240000000000000e+05 4.528340000000000000e+05
1.804509509116485688e+01 1.896682890295313939e+01 2.926913149076818765e+00 -6.295022682199557629e+00 2.595312595595186678e-02 5.036500000000000000e+05 6.439930000000000000e+05 6.439930000000000000e+05 6.027820000000000000e+05
