# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.435271979362344630e-01 -8.304280293366600452e-01 3.144998714745909751e+00 2.083757024237575528e-01 4.919962996932717748e-03 7.248980000000000000e+05 9.403500000000000000e+04
8.318373641252689854e-01 8.663906486330783530e-01 -1.616087270202520021e-01 1.152857081746534007e+00 9.138218514682529270e-02 2.522646803564142226e-03 1.169221000000000000e+06 3.557640000000000000e+05
1.641785957447399635e+00 1.781877085602605382e+00 5.608127845148516144e-01 6.533291894626488405e-01 -6.340441912021066440e-02 1.309232881413772932e-03 2.729912000000000000e+06 1.308924000000000000e+06
3.240370349203930189e+00 3.470883904035318768e+00 1.226054935125147516e+00 2.418182908200006975e-01 -2.217207538231372732e-01 6.965936957581698443e-04 7.132182000000000000e+06 4.516994000000000000e+06
6.395474362763517995e+00 6.749178414399871428e+00 1.890050600326000696e+00 1.990436751770023882e-01 -9.771816105337444158e-02 3.925190631445585115e-04 1.552685800000000000e+07 1.424343900000000000e+07
1.262265973234014460e+01 1.320945528734484853e+01 2.562844183451077562e+00 1.277435587064067353e-02 3.943267786829719734e-02 2.581081137999948209e-04 3.109346800000000000e+07 3.323951400000000000e+07
2.491316979489749883e+01 2.174175439939694243e+01 3.070191219226989343e+00 -5.198874013898750236e-04 3.189892792752707651e-02 3.537960223878753251e-04 1.816502100000000000e+07 1.943644300000000000e+07
