# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
6.927090124407370153e-01 7.288240524225634287e-01 -3.330996070407956644e-01 2.361419904346738097e+00 2.513925294336382121e-01 5.673795561299824902e-02 5.670000000000000000e+03 6.920000000000000000e+02
1.329573974236247125e+00 1.392060025961774139e+00 3.149272843501102481e-01 1.434796394434981970e+00 3.133999038967774098e-01 2.979910105790420025e-02 1.102400000000000000e+04 2.474000000000000000e+03
2.551961821223750260e+00 2.721399616120472764e+00 9.851858292335743394e-01 3.112000381904688195e-01 2.589112468065074904e-02 1.625783598750416351e-02 1.954600000000000000e+04 8.427000000000000000e+03
4.898192400858816242e+00 5.100024413057046679e+00 1.612151073918132171e+00 6.844823956123763375e-02 -3.671987793590947985e-02 9.002725963867154110e-03 3.695200000000000000e+04 2.606100000000000000e+04
9.401507732715986165e+00 9.911412687043830161e+00 2.276906524380689856e+00 -1.353351185304016609e-02 -2.233744694358924532e-02 5.540182666987159346e-03 6.587600000000000000e+04 6.596000000000000000e+04
1.804509509116485688e+01 1.746178719780353461e+01 2.845310627084614907e+00 4.375318199359954328e-03 3.023596175304525679e-02 4.735424556681037435e-03 8.374600000000000000e+04 9.139600000000000000e+04
