# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.503032880741357769e-01 -8.145447933788142469e-01 -8.021098177454027978e-02 7.988729784383306887e-02 0.000000000000000000e+00 1.416160000000000000e+05 4.659500000000000000e+04
8.318373641252689854e-01 8.979318228298642790e-01 -1.245484400134657527e-01 1.608478073379654150e-01 -7.962493612152257705e-02 0.000000000000000000e+00 3.719010000000000000e+05 1.771640000000000000e+05
1.641785957447399635e+00 1.776551320457954164e+00 5.578008498791818814e-01 2.241440191167974605e-03 3.537879955653545905e-02 0.000000000000000000e+00 1.117174000000000000e+06 6.626180000000000000e+05
3.240370349203930189e+00 3.498251541370946960e+00 1.235267047719212918e+00 1.866313885954859475e-02 5.931102773564750352e-02 0.000000000000000000e+00 3.344364000000000000e+06 2.344284000000000000e+06
6.395474362763517995e+00 6.769625501549565882e+00 1.894626392233925039e+00 3.777788636856961590e-02 3.981931213385966201e-02 0.000000000000000000e+00 8.102690000000000000e+06 7.488565000000000000e+06
1.262265973234014460e+01 1.328505700948773338e+01 2.568834417784061408e+00 4.668078285203896421e-02 4.252841464355711087e-02 0.000000000000000000e+00 1.665530200000000000e+07 1.702492800000000000e+07
2.491316979489749883e+01 2.103895969213362349e+01 3.039372655315986993e+00 -1.595158586045553051e-02 7.902434647532474710e-02 0.000000000000000000e+00 8.030396000000000000e+06 8.355853000000000000e+06
