# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.485865401923100904e-01 -8.188132653291475549e-01 4.651758671226184561e+01 1.562881609481816397e-02 7.985700000000000000e+04 1.382200000000000000e+04 1.569600000000000000e+04 1.637600000000000000e+04
8.318373641252689854e-01 8.809113148392943016e-01 -1.438550817670397330e-01 2.316196021348859801e+01 8.043227864183251016e-03 1.811720000000000000e+05 4.941100000000000000e+04 6.011200000000000000e+04 6.183000000000000000e+04
1.641785957447399635e+00 1.762336513976685781e+00 5.491956939620263878e-01 8.861312236649755647e+00 4.147093361857786056e-03 4.043270000000000000e+05 2.183800000000000000e+05 2.178080000000000000e+05 2.325800000000000000e+05
3.240370349203930189e+00 3.474993018439188397e+00 1.229144547350774053e+00 4.796833677542551300e+00 2.197312692863142170e-03 1.159638000000000000e+06 7.453880000000000000e+05 7.483200000000000000e+05 8.284690000000000000e+05
6.395474362763517995e+00 6.782253427384298483e+00 1.896378537382173768e+00 -6.965600041760192651e-01 1.239072709744059664e-03 2.454120000000000000e+06 2.325085000000000000e+06 2.344518000000000000e+06 2.605352000000000000e+06
1.262265973234014460e+01 1.315664370075256784e+01 2.559522083292679717e+00 -2.502483772351432378e+00 8.195997227876194264e-04 4.712867000000000000e+06 5.608402000000000000e+06 5.599379000000000000e+06 5.954652000000000000e+06
2.491316979489749883e+01 2.155859242060185466e+01 3.063939172271338940e+00 3.085088420403174325e+00 1.158761971000231731e-03 3.744882000000000000e+06 3.454946000000000000e+06 3.346250000000000000e+06 2.979007000000000000e+06
