# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.592715087557757148e-01 -7.958197188972353509e-01 2.990729593624980587e-01 -1.620034973283669411e-01 0.000000000000000000e+00 1.897570000000000000e+05 7.775100000000000000e+04
8.572321289096397345e-01 9.271879187191052196e-01 -9.335835033855131859e-02 -8.840908585031649614e-02 2.975007817283596978e-01 0.000000000000000000e+00 5.818050000000000000e+05 3.095620000000000000e+05
1.726168670883144962e+00 1.869902010177926011e+00 6.078128360236976224e-01 -2.790720812683917251e-01 9.892929820801023288e-02 0.000000000000000000e+00 1.747475000000000000e+06 1.186019000000000000e+06
3.475905976749230408e+00 3.758870261438786997e+00 1.305062294065765904e+00 -1.288733217345647830e-01 -4.574679966905723094e-02 0.000000000000000000e+00 4.943178000000000000e+06 4.350638000000000000e+06
6.999271023161164784e+00 7.585829821180966270e+00 2.007645582375525262e+00 8.438055468900204636e-02 1.984358596838538963e-02 0.000000000000000000e+00 1.413357600000000000e+07 1.452356600000000000e+07
1.409410817880644551e+01 1.443701442575448723e+01 2.650917582220223778e+00 3.344785856517612510e-02 -3.829298489807619887e-03 0.000000000000000000e+00 2.771051500000000000e+07 2.932394000000000000e+07
