# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.472269140056265302e-01 -8.211650996720616380e-01 4.307713116230112860e+01 5.777925649334902936e+00 0.000000000000000000e+00 4.410580000000000000e+05 1.839600000000000000e+04
8.318373641252689854e-01 8.560834883283707786e-01 -1.730030459110969143e-01 1.764012967521799524e+01 2.936510742288902076e+00 0.000000000000000000e+00 6.767060000000000000e+05 7.190400000000000000e+04
1.641785957447399635e+00 1.680379916100116722e+00 5.005151610559330777e-01 2.220570939914570552e+00 -2.659893224973687853e-01 0.000000000000000000e+00 7.013070000000000000e+05 2.714920000000000000e+05
3.240370349203930189e+00 3.553031674826429676e+00 1.250508165229320179e+00 1.466248556902704780e-01 5.304214043025009540e-01 0.000000000000000000e+00 1.530608000000000000e+06 9.911600000000000000e+05
6.395474362763517995e+00 6.624807654417564251e+00 1.875153857863693707e+00 9.209519287491942929e-01 1.766294442117692653e-01 0.000000000000000000e+00 4.957054000000000000e+06 2.967968000000000000e+06
1.262265973234014460e+01 1.334538772152052566e+01 2.573789001016390632e+00 1.487571438304331195e-01 3.570182092432211407e-01 0.000000000000000000e+00 6.083598000000000000e+06 6.644219000000000000e+06
2.491316979489749883e+01 2.097685544201244667e+01 3.036454275785611223e+00 1.701063433154305637e-01 6.903437631152755660e-01 0.000000000000000000e+00 3.035041000000000000e+06 3.068842000000000000e+06
