# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.368240388464589841e-01 -8.458800723848921566e-01 2.327605784681306886e+02 2.672373824969492134e-02 1.142420000000000000e+05 8.094000000000000000e+03 6.085000000000000000e+03 5.601000000000000000e+03
8.318373641252689854e-01 8.487474172022390073e-01 -1.808809348517939897e-01 7.837918854415273984e+01 1.381777071706933625e-02 1.577870000000000000e+05 3.000800000000000000e+04 2.366000000000000000e+04 2.095000000000000000e+04
1.641785957447399635e+00 1.750945579883746994e+00 5.430956577595925650e-01 2.387508707366760774e+01 7.250708961399959449e-03 2.274630000000000000e+05 8.989900000000000000e+04 9.181000000000000000e+04 7.608500000000000000e+04
3.240370349203930189e+00 3.512107619847285811e+00 1.239810791388237465e+00 1.786083810901890701e+01 3.902745498294971256e-03 6.534920000000000000e+05 3.033690000000000000e+05 3.515460000000000000e+05 2.626150000000000000e+05
6.395474362763517995e+00 6.789015470916281103e+00 1.897089711521028343e+00 8.750956044260661315e+00 2.195654259448346062e-03 1.434792000000000000e+06 9.761550000000000000e+05 1.098321000000000000e+06 8.297210000000000000e+05
1.262265973234014460e+01 1.302651886039637752e+01 2.548253272466245001e+00 -1.308369077165808747e+00 1.420646967382578358e-03 1.765836000000000000e+06 2.033013000000000000e+06 2.359869000000000000e+06 1.981927000000000000e+06
2.491316979489749883e+01 2.030659886304939121e+01 3.006790976720851383e+00 -6.418047398468200271e+00 1.811876676549727940e-03 5.667710000000000000e+05 1.117451000000000000e+06 8.717960000000000000e+05 1.218436000000000000e+06
