# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.428157805753179521e-01 -8.317543442450100466e-01 8.741312402979678708e+00 2.645845881300712854e+00 0.000000000000000000e+00 6.857990000000000000e+05 6.528200000000000000e+04
8.318373641252689854e-01 8.772920573143703216e-01 -1.482213383694729048e-01 2.794476942540619291e+00 -1.108736215327525754e+00 0.000000000000000000e+00 1.196692000000000000e+06 2.514400000000000000e+05
1.641785957447399635e+00 1.713856597363594858e+00 5.215924708924322140e-01 1.025037710468276630e+00 -6.752113547369910096e-01 0.000000000000000000e+00 2.160994000000000000e+06 9.532340000000000000e+05
3.240370349203930189e+00 3.482277268642383294e+00 1.230506565209216197e+00 -3.066241453303520936e-01 -5.117268997781243556e-01 0.000000000000000000e+00 4.695529000000000000e+06 3.428836000000000000e+06
6.395474362763517995e+00 6.864914351692734229e+00 1.909066177510738926e+00 -1.143426523747597123e-01 -2.173649336191053050e-01 0.000000000000000000e+00 1.573756300000000000e+07 1.067367800000000000e+07
1.262265973234014460e+01 1.306239478037633006e+01 2.552508799575705201e+00 1.373058271260007013e-01 8.729096722929283181e-02 0.000000000000000000e+00 3.135907500000000000e+07 2.411089700000000000e+07
2.491316979489749883e+01 2.121214738258180077e+01 3.046642889728652381e+00 8.622409602237850190e-02 -9.777953082095591775e-02 0.000000000000000000e+00 1.383874800000000000e+07 1.135312200000000000e+07
