# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.478366827729861055e-01 -8.210082003314632670e-01 5.474035439314939300e-01 5.315546190488552869e-02 0.000000000000000000e+00 1.112150000000000000e+05 2.698200000000000000e+04
8.318373641252689854e-01 8.924351292801636637e-01 -1.308489757718170887e-01 3.661289251741423056e-01 -3.091627935157683083e-01 0.000000000000000000e+00 2.764740000000000000e+05 1.023890000000000000e+05
1.641785957447399635e+00 1.772132324920464796e+00 5.551326726045433535e-01 2.588415016083661646e-01 -2.644445803865272046e-02 0.000000000000000000e+00 7.218200000000000000e+05 3.844690000000000000e+05
3.240370349203930189e+00 3.442724982749332252e+00 1.219135483153380939e+00 1.295168197285445910e-01 1.029408206453749919e-01 0.000000000000000000e+00 2.154558000000000000e+06 1.354030000000000000e+06
6.395474362763517995e+00 6.793716295507008063e+00 1.899113538861798123e+00 8.248805265932354636e-02 -6.448979684866885942e-02 0.000000000000000000e+00 5.396264000000000000e+06 4.253422000000000000e+06
1.262265973234014460e+01 1.349911863682897817e+01 2.584538079287182821e+00 -5.468706611319988642e-02 1.211210729099703072e-02 0.000000000000000000e+00 1.028669000000000000e+07 9.746514000000000000e+06
2.491316979489749883e+01 2.108462717664309594e+01 3.042023419319188182e+00 -1.070433957774508255e-01 2.626332822563286901e-03 0.000000000000000000e+00 5.735089000000000000e+06 5.086130000000000000e+06
