# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.482512188697134747e-01 -8.206003896336137027e-01 6.604793516823972865e+00 1.159188854676949543e+00 0.000000000000000000e+00 4.030320000000000000e+05 5.958700000000000000e+04
8.572321289096397345e-01 9.026010367978533067e-01 -1.218745468786430336e-01 1.436664901305733988e+00 1.250907912121272503e+00 0.000000000000000000e+00 6.601260000000000000e+05 2.392290000000000000e+05
1.726168670883144962e+00 1.859082020014250380e+00 6.016227611296524058e-01 2.651333035740057742e-01 -3.859200619526308440e-01 0.000000000000000000e+00 1.557035000000000000e+06 9.521410000000000000e+05
3.475905976749230408e+00 3.822546590957748958e+00 1.323585715194406820e+00 6.542087679604600137e-01 -1.746009893337567842e-01 0.000000000000000000e+00 4.987580000000000000e+06 3.498103000000000000e+06
6.999271023161164784e+00 7.377456676721354967e+00 1.979123007714674864e+00 2.605367135659382438e-02 -1.240137636648697556e-01 0.000000000000000000e+00 1.072712100000000000e+07 1.061983400000000000e+07
1.409410817880644551e+01 1.486422565104824045e+01 2.680403826681386992e+00 1.102583839577049168e-01 3.665645919560638899e-01 0.000000000000000000e+00 2.123527600000000000e+07 2.273969600000000000e+07
