# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.469515446303461981e-01 -8.242617648552650333e-01 1.595186844443582386e+00 1.444399905849885757e-01 0.000000000000000000e+00 5.320500000000000000e+04 1.907000000000000000e+04
8.572321289096397345e-01 9.258283780409967134e-01 -9.569894085087940483e-02 4.199297057997751770e-01 8.719499442509462406e-02 0.000000000000000000e+00 1.014380000000000000e+05 7.459900000000000000e+04
1.726168670883144962e+00 1.881460277595091046e+00 6.134065376413720960e-01 4.376135635974112148e-01 9.008137207052044348e-02 0.000000000000000000e+00 3.266780000000000000e+05 2.902600000000000000e+05
3.475905976749230408e+00 3.764865057339338072e+00 1.306687349365682760e+00 3.119679408232495788e-01 1.394795581968013565e-01 0.000000000000000000e+00 1.039742000000000000e+06 1.037149000000000000e+06
6.999271023161164784e+00 7.538495851011867366e+00 2.000820578274089989e+00 2.947092139367710750e-01 1.260481779307153771e-01 0.000000000000000000e+00 2.885620000000000000e+06 3.041591000000000000e+06
1.409410817880644551e+01 1.501109723169297894e+01 2.689918979822646605e+00 2.170264254948232052e-01 -1.435007833099832125e-02 0.000000000000000000e+00 7.132705000000000000e+06 7.199146000000000000e+06
