# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.500634606056325149e-01 -8.153423976821695396e-01 1.560994284513222086e+00 -7.868754410510611086e-01 0.000000000000000000e+00 1.379780000000000000e+05 2.901600000000000000e+04
8.318373641252689854e-01 8.927791000477174332e-01 -1.301572606148403421e-01 8.834762149138488674e-01 -2.248267738375016034e+00 0.000000000000000000e+00 3.542180000000000000e+05 1.101740000000000000e+05
1.641785957447399635e+00 1.778878674130971893e+00 5.594286275930973051e-01 1.844289692078346921e+00 -2.569683810130814372e+00 0.000000000000000000e+00 1.066917000000000000e+06 4.141410000000000000e+05
3.240370349203930189e+00 3.484754445676222279e+00 1.231092948035910295e+00 7.862867117342404732e-01 -1.522326064342266250e+00 0.000000000000000000e+00 2.619407000000000000e+06 1.461879000000000000e+06
6.395474362763517995e+00 6.796485482595662653e+00 1.899046614319564563e+00 -7.385519012217922619e-02 -6.779001184484148013e-01 0.000000000000000000e+00 6.331115000000000000e+06 4.705072000000000000e+06
1.262265973234014460e+01 1.305324543466982590e+01 2.551968786986678506e+00 -3.184623793504198219e-01 3.482842465584377045e-01 0.000000000000000000e+00 1.311851000000000000e+07 1.069200000000000000e+07
2.491316979489749883e+01 2.060996004001676596e+01 3.020255641094036658e+00 -2.318652411057849638e-01 -1.335674082562725573e-01 0.000000000000000000e+00 4.831647000000000000e+06 4.963493000000000000e+06
