# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.492412020393488636e-01 -8.170976881082503418e-01 6.092672944765877396e+00 -9.840039424062918538e-01 0.000000000000000000e+00 2.354137000000000000e+06 1.505830000000000000e+05
8.318373641252689854e-01 8.843315352207572477e-01 -1.403321434622203101e-01 5.019619349878229109e+00 1.134514913269867031e-02 0.000000000000000000e+00 5.243085000000000000e+06 5.743430000000000000e+05
1.641785957447399635e+00 1.735004531798872707e+00 5.340717803010582854e-01 3.588158940428657573e+00 1.199349407122132609e-02 0.000000000000000000e+00 1.196133500000000000e+07 2.178420000000000000e+06
3.240370349203930189e+00 3.369679137003557035e+00 1.196229665578543822e+00 1.087552781019634596e+00 1.587058027836675267e-01 0.000000000000000000e+00 1.834038200000000000e+07 7.991039000000000000e+06
6.395474362763517995e+00 6.626751836960952602e+00 1.872941812265574324e+00 2.566038778332829090e-02 5.391918350006809010e-03 0.000000000000000000e+00 3.110716700000000000e+07 2.522906200000000000e+07
1.262265973234014460e+01 1.286120297716144556e+01 2.536157447335654069e+00 6.364451586116001702e-02 5.207202562318322819e-02 0.000000000000000000e+00 4.099342800000000000e+07 5.542722800000000000e+07
2.491316979489749883e+01 2.071374183482764764e+01 3.024557697127355116e+00 7.290473181903825428e-02 6.988942558939524596e-02 0.000000000000000000e+00 1.329786800000000000e+07 2.255014500000000000e+07
