# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.485093380443470057e-01 -8.189342834954881356e-01 1.980255990212351547e+00 -1.744732234964731787e-01 0.000000000000000000e+00 1.250553000000000000e+06 1.195660000000000000e+05
8.318373641252689854e-01 8.820537858411708898e-01 -1.429190023494821271e-01 8.957788115503242388e-01 -9.958576091912008099e-02 0.000000000000000000e+00 2.661004000000000000e+06 4.592200000000000000e+05
1.641785957447399635e+00 1.746911850622336893e+00 5.402112974196136008e-01 2.271473673843816821e-01 1.587390882736939846e-01 0.000000000000000000e+00 5.432298000000000000e+06 1.713440000000000000e+06
3.240370349203930189e+00 3.422501174036141514e+00 1.213687412458112513e+00 1.098576431258372066e-01 1.732974646895655071e-02 0.000000000000000000e+00 1.361405300000000000e+07 6.118678000000000000e+06
6.395474362763517995e+00 6.806008021089083648e+00 1.900250196847436568e+00 1.947360881232759050e-02 -6.713344523891616455e-02 0.000000000000000000e+00 2.369837100000000000e+07 2.043079300000000000e+07
1.262265973234014460e+01 1.271056473781510832e+01 2.524215440620386719e+00 3.464979221867089260e-02 7.067988937673151673e-04 0.000000000000000000e+00 3.958260500000000000e+07 4.530608600000000000e+07
2.491316979489749883e+01 2.108873031585694946e+01 3.042525607645843344e+00 -2.828437133466370906e-02 6.174606888907605007e-02 0.000000000000000000e+00 1.347263600000000000e+07 1.834353000000000000e+07
