# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.416090686833359369e-01 -8.346415207288176985e-01 2.967435145045936307e-01 -2.064369096941962370e-02 0.000000000000000000e+00 2.020240000000000000e+05 2.319800000000000000e+04
8.318373641252689854e-01 8.815236148452086917e-01 -1.443388267388044099e-01 1.858356481667803983e+00 -5.685357891199442903e-01 0.000000000000000000e+00 3.418580000000000000e+05 8.601800000000000000e+04
1.641785957447399635e+00 1.723685169782523507e+00 5.265491987144285124e-01 1.219665790848501796e+00 8.986085170386592935e-02 0.000000000000000000e+00 7.729210000000000000e+05 3.171000000000000000e+05
3.240370349203930189e+00 3.530588147532105481e+00 1.244276016549282549e+00 2.284110146876481284e-01 1.637012840474161290e-01 0.000000000000000000e+00 2.038084000000000000e+06 1.139578000000000000e+06
6.395474362763517995e+00 6.657899841317844292e+00 1.877058614062877329e+00 4.340693103319178681e-01 1.873082147582473822e-01 0.000000000000000000e+00 5.155136000000000000e+06 3.425808000000000000e+06
1.262265973234014460e+01 1.313072956927514845e+01 2.556272976890756166e+00 2.010548437672250444e-01 1.494151123224069511e-01 0.000000000000000000e+00 8.411335000000000000e+06 8.029004000000000000e+06
2.491316979489749883e+01 2.119737722143928238e+01 3.046445046328682071e+00 -4.166696739394996907e-02 2.507667569672752395e-01 0.000000000000000000e+00 4.000517000000000000e+06 4.523943000000000000e+06
