# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.418210875280577654e-01 -8.341755672541658617e-01 1.017596589563432445e+02 7.947089576110087650e-03 6.004140000000000000e+05 6.123500000000000000e+04 6.316400000000000000e+04 6.333500000000000000e+04
8.318373641252689854e-01 8.821379125914249331e-01 -1.432605308416279311e-01 4.140756229308242098e+01 4.073683069556683148e-03 1.072771000000000000e+06 2.295450000000000000e+05 2.445990000000000000e+05 2.410380000000000000e+05
1.641785957447399635e+00 1.717322823484276784e+00 5.231391174036783553e-01 1.587221874600515470e+01 2.117886063660002864e-03 2.071310000000000000e+06 9.361570000000000000e+05 9.121050000000000000e+05 8.917740000000000000e+05
3.240370349203930189e+00 3.443366791623015288e+00 1.219336516843021689e+00 2.245450760699739590e+00 1.125336321410325005e-03 3.749646000000000000e+06 3.240867000000000000e+06 3.196668000000000000e+06 3.158605000000000000e+06
6.395474362763517995e+00 6.892486232704915672e+00 1.912869985492856140e+00 -5.335480210424454750e-01 6.307260869416724675e-04 9.607850000000000000e+06 1.006196200000000000e+07 1.049149400000000000e+07 1.005491500000000000e+07
1.262265973234014460e+01 1.334378042262359365e+01 2.573924872158530164e+00 -2.724936211206506198e-01 4.161387635597777216e-04 2.257397700000000000e+07 2.377764400000000000e+07 2.373506200000000000e+07 2.309849300000000000e+07
2.491316979489749883e+01 2.120442149363633533e+01 3.047435419783339761e+00 -1.397847146177182420e+00 5.817403826577620006e-04 1.044273800000000000e+07 1.089518100000000000e+07 1.153580600000000000e+07 1.181956700000000000e+07
