# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.443686213353061909e-01 -8.288729355029142987e-01 1.165802500160243005e+00 2.360071310610769788e-02 0.000000000000000000e+00 1.817800000000000000e+04 5.174000000000000000e+03
8.318373641252689854e-01 8.991201029273564460e-01 -1.217083893179817522e-01 -3.618246364034560097e-02 -1.585865468243475851e-01 0.000000000000000000e+00 5.725300000000000000e+04 1.935000000000000000e+04
1.641785957447399635e+00 1.747480920055873410e+00 5.421810888312502685e-01 -4.839673835650649680e-01 -5.920384112666026155e-01 0.000000000000000000e+00 1.620810000000000000e+05 7.307100000000000000e+04
3.240370349203930189e+00 3.442418150829514634e+00 1.218399499722613299e+00 1.842865179269294051e-01 -1.424562617118007024e-01 0.000000000000000000e+00 3.760300000000000000e+05 2.446690000000000000e+05
6.395474362763517995e+00 6.852483860408733030e+00 1.907688965262049230e+00 -6.067989669989464277e-03 9.751293964042977158e-02 0.000000000000000000e+00 9.060040000000000000e+05 7.272590000000000000e+05
1.262265973234014460e+01 1.298431476435495568e+01 2.545463257833584070e+00 3.588031943665049434e-02 -1.019308144445871533e-01 0.000000000000000000e+00 1.643756000000000000e+06 1.771538000000000000e+06
2.491316979489749883e+01 2.174005132721091726e+01 3.071482856204376777e+00 9.631795763562120416e-02 -4.682288089013272314e-01 0.000000000000000000e+00 9.743580000000000000e+05 1.123417000000000000e+06
