# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.502385247847524585e-01 -8.163678215305186781e-01 2.515831333563635752e+00 1.291241051785206317e-01 0.000000000000000000e+00 1.408450000000000000e+06 2.283040000000000000e+05
8.572321289096397345e-01 9.098567118356680750e-01 -1.133216101498863426e-01 5.247688398015809552e-01 -4.619494769740143530e-02 0.000000000000000000e+00 2.642776000000000000e+06 9.109700000000000000e+05
1.726168670883144962e+00 1.877082402721202969e+00 6.112743044448479823e-01 1.662321936226288932e-01 4.158689451952678195e-02 0.000000000000000000e+00 6.444199000000000000e+06 3.584973000000000000e+06
3.475905976749230408e+00 3.750180736105859225e+00 1.303133640448058683e+00 2.691152597463470492e-02 -1.308857228616562007e-01 0.000000000000000000e+00 1.890844100000000000e+07 1.360634300000000000e+07
6.999271023161164784e+00 7.568891251359023187e+00 2.005724857657592786e+00 1.739250870916793368e-01 -8.086158439791610308e-02 0.000000000000000000e+00 5.306191300000000000e+07 4.610611300000000000e+07
1.409410817880644551e+01 1.403107435679278403e+01 2.622724282463474221e+00 1.294738857585834846e-01 -3.641193548855058831e-02 0.000000000000000000e+00 8.466282500000000000e+07 8.609303900000000000e+07
