# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.552164550576329738e-01 -8.051507748865178726e-01 5.488526867865870074e+00 -1.264819329342133258e+00 0.000000000000000000e+00 1.012870000000000000e+06 7.108700000000000000e+04
8.572321289096397345e-01 8.971318451920877735e-01 -1.272449964977586112e-01 2.026538429240783756e+00 9.043234785573445178e-01 0.000000000000000000e+00 1.933078000000000000e+06 2.865130000000000000e+05
1.726168670883144962e+00 1.870003926149232276e+00 6.071221489534078808e-01 4.410739504698316105e-01 6.844091473512717849e-01 0.000000000000000000e+00 3.521038000000000000e+06 1.139865000000000000e+06
3.475905976749230408e+00 3.690704599172498046e+00 1.286162463153352142e+00 5.200824379820313537e-01 -1.206837464214583350e-01 0.000000000000000000e+00 8.994697000000000000e+06 4.473358000000000000e+06
6.999271023161164784e+00 7.223534876011668437e+00 1.957799858496885648e+00 5.114962068223104230e-02 -9.052588646056215771e-02 0.000000000000000000e+00 1.624426300000000000e+07 1.530096500000000000e+07
1.409410817880644551e+01 1.382223086036527171e+01 2.608597169194272869e+00 3.232839588628887151e-02 2.080841105430674895e-02 0.000000000000000000e+00 1.409396300000000000e+07 2.666769300000000000e+07
