# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.452385828797400524e-01 -8.262182120085224124e-01 3.324078588842678528e+01 9.777876281323890847e-03 2.736260000000000000e+05 4.086500000000000000e+04 4.183800000000000000e+04 4.241800000000000000e+04
8.318373641252689854e-01 8.788837263473947559e-01 -1.467645232396097843e-01 1.411794577163296793e+01 4.971019546391139063e-03 5.427520000000000000e+05 1.601460000000000000e+05 1.618710000000000000e+05 1.605080000000000000e+05
1.641785957447399635e+00 1.757292845716630358e+00 5.462937863773312808e-01 5.618399524387427846e+00 2.559518970301802223e-03 1.182329000000000000e+06 6.053900000000000000e+05 6.105810000000000000e+05 5.950040000000000000e+05
3.240370349203930189e+00 3.468971896248486786e+00 1.226477022908053494e+00 2.051192537944388938e+00 1.348421177252221619e-03 2.952010000000000000e+06 2.150676000000000000e+06 2.199930000000000000e+06 2.116380000000000000e+06
6.395474362763517995e+00 6.854357684299561271e+00 1.907806510809109790e+00 3.487878798429100424e-01 7.617527167269700717e-04 7.294097000000000000e+06 6.818050000000000000e+06 6.893376000000000000e+06 6.701768000000000000e+06
1.262265973234014460e+01 1.327651165305596948e+01 2.567430918671023576e+00 -6.782851244419397796e-01 5.075330234317836477e-04 1.377310100000000000e+07 1.551556000000000000e+07 1.552856700000000000e+07 1.543343600000000000e+07
2.491316979489749883e+01 2.052338461588786345e+01 3.016569851186279738e+00 -7.957532819127905999e-01 7.472839813257700550e-04 6.212913000000000000e+06 7.325720000000000000e+06 7.162896000000000000e+06 8.031068000000000000e+06
