# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.453650531705202753e-01 -8.262392782740650699e-01 7.624743954395466483e-01 -1.168719409365421014e-01 0.000000000000000000e+00 1.019770000000000000e+05 2.354000000000000000e+04
8.318373641252689854e-01 8.849387142369347092e-01 -1.397652407775566152e-01 1.606795889814389422e-01 7.362676072633003721e-02 0.000000000000000000e+00 2.145790000000000000e+05 8.896700000000000000e+04
1.641785957447399635e+00 1.777414818163998600e+00 5.588728454163968129e-01 -1.115698049612560833e-01 -4.420126849452993278e-01 0.000000000000000000e+00 6.217520000000000000e+05 3.251700000000000000e+05
3.240370349203930189e+00 3.451559478976402140e+00 1.221318900430485854e+00 1.565996725688603708e-01 9.245817809185918890e-02 0.000000000000000000e+00 1.631535000000000000e+06 1.111281000000000000e+06
6.395474362763517995e+00 6.912594090569385230e+00 1.916316061716667907e+00 -8.826147834879692622e-03 -7.413166682833309540e-03 0.000000000000000000e+00 4.498920000000000000e+06 3.454551000000000000e+06
1.262265973234014460e+01 1.298219973586223297e+01 2.544594794608883603e+00 -1.020299094285130465e-01 -6.622535234587868802e-02 0.000000000000000000e+00 7.853489000000000000e+06 8.276205000000000000e+06
2.491316979489749883e+01 2.169487197731094597e+01 3.069386720663078716e+00 -4.129868827255313013e-01 -1.936998684826595762e-01 0.000000000000000000e+00 4.995334000000000000e+06 4.878658000000000000e+06
