# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.511661749986927705e-01 -8.121676942205097172e-01 2.069942228395309058e+00 9.571615595378515362e-01 0.000000000000000000e+00 1.814480000000000000e+05 1.900400000000000000e+04
8.318373641252689854e-01 8.844492856394224889e-01 -1.400250514728191287e-01 3.979208217388245927e-01 5.561272857616218479e-01 0.000000000000000000e+00 4.034790000000000000e+05 7.224700000000000000e+04
1.641785957447399635e+00 1.736542395430841879e+00 5.347094986373087666e-01 6.516880473301880361e-01 -1.364177301671804787e-01 0.000000000000000000e+00 9.546270000000000000e+05 2.745820000000000000e+05
3.240370349203930189e+00 3.420320709856839336e+00 1.210923481103860055e+00 -4.267436923026822482e-02 2.381547809963618367e-01 0.000000000000000000e+00 1.669041000000000000e+06 1.009529000000000000e+06
6.395474362763517995e+00 6.794386673289392498e+00 1.898098955388704434e+00 -6.140795729143402881e-02 9.506848581110213803e-02 0.000000000000000000e+00 4.215967000000000000e+06 3.344599000000000000e+06
1.262265973234014460e+01 1.272205153665646549e+01 2.526029997538480121e+00 1.141238836776224119e-01 -1.075172499574971463e-01 0.000000000000000000e+00 6.164215000000000000e+06 7.187918000000000000e+06
2.491316979489749883e+01 2.070474799169684843e+01 3.023138627262404565e+00 1.485889331961514626e-01 9.825909585514142237e-04 0.000000000000000000e+00 1.604588000000000000e+06 2.637081000000000000e+06
