# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.611207810413351926e-01 -7.915594982080684794e-01 -1.280282944087585695e-01 2.128932325844977991e-01 0.000000000000000000e+00 2.529580000000000000e+05 1.063990000000000000e+05
8.572321289096397345e-01 9.308979296039842088e-01 -8.949377860779204885e-02 -8.238260284303706993e-02 -5.955658452996454022e-02 0.000000000000000000e+00 7.362330000000000000e+05 4.235830000000000000e+05
1.726168670883144962e+00 1.872180256715464397e+00 6.093379186624434674e-01 -1.091288900408357576e-01 6.463582896519873278e-02 0.000000000000000000e+00 2.356856000000000000e+06 1.630050000000000000e+06
3.475905976749230408e+00 3.756382298055117808e+00 1.305302107737952966e+00 -1.635749826135360074e-01 -5.576078670650336244e-02 0.000000000000000000e+00 7.118328000000000000e+06 5.959814000000000000e+06
6.999271023161164784e+00 7.542522448260806200e+00 2.002347430117679572e+00 1.758522400250463191e-02 1.834618730889246013e-02 0.000000000000000000e+00 2.001671300000000000e+07 1.919934000000000000e+07
1.409410817880644551e+01 1.459718252947437200e+01 2.662513526568797140e+00 -1.525962734828339440e-01 1.810814037861473991e-01 0.000000000000000000e+00 4.159188500000000000e+07 4.004621600000000000e+07
