# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.456929614285745078e-01 -8.258096962526870755e-01 4.059159329735869903e+01 1.685260289593501493e-02 6.172500000000000000e+04 1.216800000000000000e+04 1.411400000000000000e+04 1.408400000000000000e+04
8.318373641252689854e-01 9.100545459548144978e-01 -1.103955091016550344e-01 2.817311864793879295e+01 8.725226216692048842e-03 1.758980000000000000e+05 4.785500000000000000e+04 5.402200000000000000e+04 5.254200000000000000e+04
1.641785957447399635e+00 1.730650820148162516e+00 5.309441508148274869e-01 1.583686255240084151e+01 4.524828975655382710e-03 4.532050000000000000e+05 1.857130000000000000e+05 2.065690000000000000e+05 1.953690000000000000e+05
3.240370349203930189e+00 3.485680246847278063e+00 1.231643115802656174e+00 6.926964393517060614e+00 2.403537148298331809e-03 1.092089000000000000e+06 7.009290000000000000e+05 7.446790000000000000e+05 6.924020000000000000e+05
6.395474362763517995e+00 6.854098489880215972e+00 1.908607846544181363e+00 6.124222661024399272e+00 1.355460658307582880e-03 3.288246000000000000e+06 2.125297000000000000e+06 2.438017000000000000e+06 2.177139000000000000e+06
1.262265973234014460e+01 1.312542542160785963e+01 2.557582187143013108e+00 2.106891422747901643e+00 8.909012106650352619e-04 5.924490000000000000e+06 5.273094000000000000e+06 5.379743000000000000e+06 5.039656000000000000e+06
2.491316979489749883e+01 2.086804081853844650e+01 3.032175608454578786e+00 -7.584065562844792829e-01 1.210274424302792019e-03 2.558226000000000000e+06 2.592126000000000000e+06 2.198726000000000000e+06 2.730815000000000000e+06
