# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.522165659780879587e-01 -8.120224974754562952e-01 8.027576123850961309e-01 -4.746987547467075852e-01 0.000000000000000000e+00 3.255330000000000000e+05 7.151500000000000000e+04
8.572321289096397345e-01 9.257850109032781383e-01 -9.503406513787322762e-02 7.077090888628937426e-01 1.080403685399787955e-01 0.000000000000000000e+00 7.655990000000000000e+05 2.857540000000000000e+05
1.726168670883144962e+00 1.878880045807903798e+00 6.135299740908820576e-01 1.043680429007730059e-01 -1.026774030662908621e-01 0.000000000000000000e+00 2.586439000000000000e+06 1.138095000000000000e+06
3.475905976749230408e+00 3.692370442756651272e+00 1.287293683482198636e+00 8.981871439166771998e-02 -2.835555832710871527e-01 0.000000000000000000e+00 6.006334000000000000e+06 4.345762000000000000e+06
6.999271023161164784e+00 7.443444364508791544e+00 1.988611129281391499e+00 1.317463879553813777e-02 -5.832532989646425220e-02 0.000000000000000000e+00 1.418177200000000000e+07 1.378409000000000000e+07
1.409410817880644551e+01 1.446502372350105503e+01 2.653782818704760071e+00 -4.926143371269291887e-02 -2.296596429870867775e-02 0.000000000000000000e+00 2.515458000000000000e+07 2.742759200000000000e+07
