# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.531328536713514765e-01 -8.101858589679903355e-01 2.573969912535019056e+00 -6.651707676927951507e-01 0.000000000000000000e+00 5.297300000000000000e+05 5.501200000000000000e+04
8.572321289096397345e-01 9.001709592160302975e-01 -1.243775436639814047e-01 2.208094048724336123e+00 -8.716038081700681062e-01 0.000000000000000000e+00 1.052595000000000000e+06 2.186810000000000000e+05
1.726168670883144962e+00 1.856393872381333354e+00 6.001577202037847725e-01 5.994506216411805699e-01 -4.832711227164819823e-01 0.000000000000000000e+00 2.281920000000000000e+06 8.502360000000000000e+05
3.475905976749230408e+00 3.664024519455360895e+00 1.278428443844090490e+00 4.569840339315320299e-01 -2.265867169023762506e-01 0.000000000000000000e+00 5.067956000000000000e+06 3.203105000000000000e+06
6.999271023161164784e+00 7.476077566905721561e+00 1.993569382467976325e+00 1.650148647797365364e-01 -1.876061056466561683e-01 0.000000000000000000e+00 1.100407300000000000e+07 9.967518000000000000e+06
1.409410817880644551e+01 1.474973075861043093e+01 2.670562969953144350e+00 1.881123128711585935e-01 -1.055345426296516592e-01 0.000000000000000000e+00 1.699808500000000000e+07 2.085369800000000000e+07
