# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.257098018462991407e-01 4.573064860528876507e-01 -8.006943852163036501e-01 9.817691862480736331e-01 2.953063679861215318e-01 0.000000000000000000e+00 3.655500000000000000e+04 7.004000000000000000e+03
8.572321289096397345e-01 8.921226792752315893e-01 -1.329871938814157495e-01 -5.934298309217611589e-01 -3.178394285260201513e-01 0.000000000000000000e+00 7.578400000000000000e+04 2.769300000000000000e+04
1.726168670883144962e+00 1.848359637787129417e+00 5.961292366153700950e-01 1.677200335914355925e-02 -2.527396161665719232e-01 0.000000000000000000e+00 1.494310000000000000e+05 1.025490000000000000e+05
3.475905976749230408e+00 3.780821691618154290e+00 1.311763107758964875e+00 -9.616236712056297486e-02 -3.969626140337194076e-01 0.000000000000000000e+00 4.505590000000000000e+05 3.778550000000000000e+05
6.999271023161164784e+00 7.391935303519307610e+00 1.981315155498476921e+00 -1.316770376992928426e-01 -1.725954169244751091e-01 0.000000000000000000e+00 1.049821000000000000e+06 1.236858000000000000e+06
1.409410817880644551e+01 1.480841383408883338e+01 2.677328610388611807e+00 -2.312088940337191090e-02 -1.399362695000750667e-01 0.000000000000000000e+00 2.645953000000000000e+06 2.648073000000000000e+06
