# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.380937464455761932e-01 -8.421042353508937373e-01 1.471612571360950383e+01 3.894704926536043832e+00 0.000000000000000000e+00 2.833000000000000000e+04 4.333000000000000000e+03
8.318373641252689854e-01 8.879830328164984854e-01 -1.368782809941677947e-01 2.331854389954430395e+00 -3.681768711694415885e-01 0.000000000000000000e+00 4.279200000000000000e+04 1.632700000000000000e+04
1.641785957447399635e+00 1.765084881093458513e+00 5.505487182092573262e-01 9.797363014986271157e-01 -1.286488505965930118e+00 0.000000000000000000e+00 9.428900000000000000e+04 6.048300000000000000e+04
3.240370349203930189e+00 3.567489351720726010e+00 1.255192283424899413e+00 1.286263412962498798e+00 -6.392342647616457985e-01 0.000000000000000000e+00 2.694250000000000000e+05 2.175180000000000000e+05
6.395474362763517995e+00 6.874284985803047476e+00 1.911342940645601951e+00 8.773039236023356668e-01 -1.115523978933486315e+00 0.000000000000000000e+00 7.447650000000000000e+05 6.957290000000000000e+05
1.262265973234014460e+01 1.316630627566463652e+01 2.559204405240311342e+00 1.147661820264358513e-02 -2.076256041356621673e-01 0.000000000000000000e+00 1.383280000000000000e+06 1.575484000000000000e+06
2.491316979489749883e+01 2.170551634033775201e+01 3.068216459444613076e+00 -1.245678329218757430e+00 2.178155729766524662e-01 0.000000000000000000e+00 6.715280000000000000e+05 7.687110000000000000e+05
