# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.257098018462991407e-01 4.457993281238528671e-01 -8.263996406031357544e-01 1.614918744543782054e+02 8.353182522413397926e-02 1.994770000000000000e+05 2.145900000000000000e+04 2.289700000000000000e+04 2.146800000000000000e+04
8.572321289096397345e-01 8.928624837766306888e-01 -1.323294038003846596e-01 5.599841115263237867e+01 4.216801211554616763e-02 3.261420000000000000e+05 8.107500000000000000e+04 8.837400000000000000e+04 8.396600000000000000e+04
1.726168670883144962e+00 1.811777912345272634e+00 5.746821738463705476e-01 1.162017910238821550e+01 2.158475978815563995e-02 5.278290000000000000e+05 3.215560000000000000e+05 3.303300000000000000e+05 3.202930000000000000e+05
3.475905976749230408e+00 3.733344465760450426e+00 1.299603040555278533e+00 2.370443688755832223e-01 1.129791382124668842e-02 1.278819000000000000e+06 1.173985000000000000e+06 1.106379000000000000e+06 1.170065000000000000e+06
6.999271023161164784e+00 7.484832674138786501e+00 1.994549301073429204e+00 -4.633573876983895445e+00 6.369385944241761147e-03 3.129265000000000000e+06 3.747249000000000000e+06 3.483124000000000000e+06 3.691844000000000000e+06
1.409410817880644551e+01 1.523106741057689995e+01 2.704781719580929611e+00 3.558205135122366247e+00 4.307260986971251510e-03 9.593598000000000000e+06 8.338157000000000000e+06 8.372655000000000000e+06 8.039579000000000000e+06
