# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.491611526793102271e-01 -8.173527379532629089e-01 7.707154047491764359e-01 5.125704595752216264e-01 0.000000000000000000e+00 1.983480000000000000e+05 4.481600000000000000e+04
8.318373641252689854e-01 8.903367419023097140e-01 -1.328236996015211280e-01 1.261811386234076071e+00 -2.300284962549747902e+00 0.000000000000000000e+00 5.085060000000000000e+05 1.700590000000000000e+05
1.641785957447399635e+00 1.756546530051527055e+00 5.463519355421558865e-01 7.877889606130699107e-01 -8.077939468371456710e-01 0.000000000000000000e+00 1.248000000000000000e+06 6.279330000000000000e+05
3.240370349203930189e+00 3.486637811468524362e+00 1.231689532604864246e+00 5.807606554349115102e-01 -8.520281062611823053e-02 0.000000000000000000e+00 3.266250000000000000e+06 2.228781000000000000e+06
6.395474362763517995e+00 6.793714334870897709e+00 1.898399909793472062e+00 2.004104538544498881e-01 1.409033544787796355e-01 0.000000000000000000e+00 8.728300000000000000e+06 7.117201000000000000e+06
1.262265973234014460e+01 1.303631055960069141e+01 2.550203474068275522e+00 -5.729200508607203146e-02 3.390509724957546656e-01 0.000000000000000000e+00 1.783348100000000000e+07 1.633830000000000000e+07
2.491316979489749883e+01 2.093735759129006269e+01 3.035483963360869009e+00 -1.459862613227395356e-01 2.552909498537789812e-01 0.000000000000000000e+00 6.672156000000000000e+06 8.304473000000000000e+06
