# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.257098018462991407e-01 4.547174057833802685e-01 -8.061543259348752377e-01 2.740684731224818194e+01 1.917248604253393995e-01 1.633150000000000000e+05 6.528000000000000000e+04 6.456300000000000000e+04 6.515900000000000000e+04
8.572321289096397345e-01 9.296023477072863361e-01 -9.051459976693775056e-02 1.408305084086412684e+01 9.636723223178787767e-02 4.540900000000000000e+05 2.494760000000000000e+05 2.560540000000000000e+05 2.574840000000000000e+05
1.726168670883144962e+00 1.898483731119290585e+00 6.235029174330578572e-01 1.055120141898420272e+01 4.910117068651648903e-02 1.511982000000000000e+06 1.031446000000000000e+06 9.975520000000000000e+05 9.917210000000000000e+05
3.475905976749230408e+00 3.737550167502077691e+00 1.299071474634144074e+00 4.221232138961021008e+00 2.565471242709440464e-02 4.397070000000000000e+06 3.822676000000000000e+06 3.681800000000000000e+06 3.632005000000000000e+06
6.999271023161164784e+00 7.526344031753619213e+00 1.999500089274616199e+00 7.590339551114173577e-01 1.431628810042998023e-02 1.230637900000000000e+07 1.272232900000000000e+07 1.182486800000000000e+07 1.166526600000000000e+07
1.409410817880644551e+01 1.470272027807189197e+01 2.669500646871413529e+00 1.141046799648856691e+00 9.907526813427722581e-03 2.518436100000000000e+07 2.509750300000000000e+07 2.462162500000000000e+07 2.435137400000000000e+07
