# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.493053853389036290e-01 -8.167055641704737967e-01 -6.239068413925711321e-01 1.548322783120982926e+00 0.000000000000000000e+00 2.011720000000000000e+05 4.454300000000000000e+04
8.318373641252689854e-01 8.907996241998339393e-01 -1.325832199656360177e-01 -7.925877217521238860e-01 -1.812396096073649876e-01 0.000000000000000000e+00 4.724960000000000000e+05 1.695220000000000000e+05
1.641785957447399635e+00 1.768978553105921225e+00 5.534254305545645014e-01 -1.524338211575013480e+00 1.069621843263007133e+00 0.000000000000000000e+00 1.238372000000000000e+06 6.281960000000000000e+05
3.240370349203930189e+00 3.449258241883107257e+00 1.220535397977905889e+00 -2.045277442022241376e-01 5.643458202944538760e-02 0.000000000000000000e+00 3.082444000000000000e+06 2.201007000000000000e+06
6.395474362763517995e+00 6.825827028954988940e+00 1.903188088702451042e+00 -4.973222883487141144e-02 -1.201796041583713948e-01 0.000000000000000000e+00 6.804180000000000000e+06 6.705892000000000000e+06
1.262265973234014460e+01 1.347186951844538605e+01 2.582944634872399003e+00 1.372985196323179002e-01 1.634394865477341030e-01 0.000000000000000000e+00 1.512953000000000000e+07 1.602681600000000000e+07
2.491316979489749883e+01 2.154478074463594695e+01 3.062103738182063051e+00 -1.812822409710630744e-01 -1.284083737826980376e-01 0.000000000000000000e+00 1.214827000000000000e+07 9.724542000000000000e+06
