# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.466946493629714854e-01 -8.232151470476261057e-01 5.721763556188162880e+01 1.012254083599920945e-01 2.362790000000000000e+05 3.517100000000000000e+04 3.973600000000000000e+04 3.925300000000000000e+04
8.318373641252689854e-01 8.820078392151905478e-01 -1.432397819203995726e-01 2.672587407855556307e+01 5.211588656065885283e-02 4.905110000000000000e+05 1.451480000000000000e+05 1.509010000000000000e+05 1.479670000000000000e+05
1.641785957447399635e+00 1.764252026972976672e+00 5.493779533819459493e-01 8.684487524200624975e+00 2.714797882880009075e-02 1.018912000000000000e+06 5.772400000000000000e+05 5.738920000000000000e+05 5.454310000000000000e+05
3.240370349203930189e+00 3.481283203123701320e+00 1.229736912039628871e+00 4.827160119014303419e+00 1.442670458423226526e-02 2.897767000000000000e+06 1.958350000000000000e+06 2.079440000000000000e+06 1.931840000000000000e+06
6.395474362763517995e+00 6.791122125717292235e+00 1.897083066448896016e+00 1.670993654955204910e+00 8.138311015834323939e-03 8.029707000000000000e+06 6.592929000000000000e+06 6.676182000000000000e+06 6.070065000000000000e+06
1.262265973234014460e+01 1.305595258740451392e+01 2.551288501434502365e+00 -1.231016857677436516e+00 5.335001607556493636e-03 1.388160600000000000e+07 1.464023300000000000e+07 1.479682400000000000e+07 1.412425400000000000e+07
2.491316979489749883e+01 2.074552217174706215e+01 3.026748770741059857e+00 1.559830816378902363e-01 7.203544302001031047e-03 5.676034000000000000e+06 7.038355000000000000e+06 6.307549000000000000e+06 7.750482000000000000e+06
