# rnom	meanr	meanlogr	wgplus	wgcross	noise	DSpairs	RSpairs
4.214638316377757876e-01 4.520363936283521844e-01 -8.106268671990557451e-01 -9.011159519860556522e-02 2.977858761193056814e-01 0.000000000000000000e+00 2.146750000000000000e+05 4.210600000000000000e+04
8.318373641252689854e-01 8.836591538803961754e-01 -1.405547767004990123e-01 -5.994374269382546361e-01 1.950615480072629415e-01 0.000000000000000000e+00 5.167440000000000000e+05 1.613220000000000000e+05
1.641785957447399635e+00 1.751602995602836277e+00 5.436422229107248372e-01 2.810326761718666411e-02 1.991827449006991491e-01 0.000000000000000000e+00 1.184174000000000000e+06 5.975590000000000000e+05
3.240370349203930189e+00 3.463928219385799867e+00 1.225528693110312872e+00 2.590132586074410034e-02 -4.091614345329176727e-02 0.000000000000000000e+00 2.643968000000000000e+06 2.075362000000000000e+06
6.395474362763517995e+00 6.823674171343908412e+00 1.902573978259761489e+00 1.333784885428270783e-01 1.751666671593765656e-02 0.000000000000000000e+00 6.070892000000000000e+06 6.351043000000000000e+06
1.262265973234014460e+01 1.324768879731024285e+01 2.565966875172283057e+00 7.003623955894879016e-02 1.964174767695496537e-02 0.000000000000000000e+00 1.307241300000000000e+07 1.506556100000000000e+07
2.491316979489749883e+01 2.152028321910288611e+01 3.062175395960230251e+00 2.296731006647982354e-01 1.783069449725400990e-02 0.000000000000000000e+00 8.831895000000000000e+06 8.979076000000000000e+06
