# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.214638316377757876e-01 4.413124486492980281e-01 -8.361374128446263931e-01 2.870876831609007240e+01 1.368419346846752767e-02 7.246500000000000000e+04 2.547800000000000000e+04 2.162400000000000000e+04 2.136100000000000000e+04
8.318373641252689854e-01 8.905794653111271941e-01 -1.331346809237837214e-01 1.227271397933320429e+01 6.981578970479187900e-03 1.659930000000000000e+05 9.020300000000000000e+04 8.030400000000000000e+04 8.206400000000000000e+04
1.641785957447399635e+00 1.764682175587404478e+00 5.512631367707949703e-01 7.192105054142066578e+00 3.638360772548936920e-03 4.832700000000000000e+05 3.208180000000000000e+05 2.852320000000000000e+05 3.021680000000000000e+05
3.240370349203930189e+00 3.465078667144604108e+00 1.224745807999494840e+00 1.826327177920852529e+00 1.946664020589691487e-03 1.216196000000000000e+06 1.056725000000000000e+06 9.653900000000000000e+05 1.055548000000000000e+06
6.395474362763517995e+00 6.814493002015990619e+00 1.901345673789039958e+00 -1.514372056137652578e+00 1.096164434893982537e-03 2.908853000000000000e+06 3.128313000000000000e+06 2.979015000000000000e+06 3.328960000000000000e+06
1.262265973234014460e+01 1.341636690932516984e+01 2.578824419913024357e+00 -1.015084085064934305e+00 7.196060981391949260e-04 7.071081000000000000e+06 7.520808000000000000e+06 7.444817000000000000e+06 7.724499000000000000e+06
2.491316979489749883e+01 2.196629513458293914e+01 3.082222933998918890e+00 7.995540930529756452e+00 9.833872159267548381e-04 6.892278000000000000e+06 4.771249000000000000e+06 5.309452000000000000e+06 4.136289000000000000e+06
