# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.257098018462991407e-01 4.552795513091276169e-01 -8.044082025281540371e-01 6.407719093046806336e+01 2.076422882669993475e-01 2.321800000000000000e+05 5.772800000000000000e+04 6.412700000000000000e+04 5.527000000000000000e+04
8.572321289096397345e-01 9.128325422855294580e-01 -1.100012109189010823e-01 2.450334790411380936e+01 1.040988977114627873e-01 4.915820000000000000e+05 2.394880000000000000e+05 2.468850000000000000e+05 2.199750000000000000e+05
1.726168670883144962e+00 1.882114071024227453e+00 6.145582287787394460e-01 1.378789937022856549e+01 5.338430336220918726e-02 1.442277000000000000e+06 9.208520000000000000e+05 9.294280000000000000e+05 8.369420000000000000e+05
3.475905976749230408e+00 3.739589567422559213e+00 1.299935268399292632e+00 4.440960651377015012e+00 2.810303522978150476e-02 3.829898000000000000e+06 3.068700000000000000e+06 3.333061000000000000e+06 3.017518000000000000e+06
6.999271023161164784e+00 7.519533267020582556e+00 1.998549319908695887e+00 1.771991725806854601e-01 1.568365176008855097e-02 1.028159700000000000e+07 1.020513100000000000e+07 1.070927800000000000e+07 9.684805000000000000e+06
1.409410817880644551e+01 1.484679444952445060e+01 2.678824704961531022e+00 2.317705238721427641e+00 1.071277019034961447e-02 2.365377800000000000e+07 2.246157100000000000e+07 2.382371900000000000e+07 2.076329800000000000e+07
