# rnom	meanr	meanlogr	wgg	noise	DDpairs	DRpairs	RDpairs	RRpairs
4.257098018462991407e-01 4.581542553918045990e-01 -7.980856129170356139e-01 3.637528760750121251e+02 9.658073559009118514e-02 4.891252000000000000e+06 2.411550000000000000e+05 2.560430000000000000e+05 2.553200000000000000e+05
8.572321289096397345e-01 9.056318166785178869e-01 -1.175513955887099726e-01 2.027523562491689972e+02 4.859273798368876629e-02 1.085080900000000000e+07 9.651550000000000000e+05 1.023547000000000000e+06 1.008780000000000000e+06
1.726168670883144962e+00 1.760977945295527425e+00 5.461242402078653191e-01 6.031102127599534413e+01 2.476825123448305604e-02 1.468320900000000000e+07 4.037115000000000000e+06 4.054739000000000000e+06 3.883135000000000000e+06
3.475905976749230408e+00 3.701705194231811102e+00 1.289713237688800973e+00 9.729008259855149277e+00 1.297065248170176446e-02 2.034917000000000000e+07 1.489189300000000000e+07 1.520573200000000000e+07 1.415904400000000000e+07
6.999271023161164784e+00 7.448308241502075155e+00 1.990022243218009468e+00 3.068756899718643183e+00 7.269580731055430046e-03 5.077162400000000000e+07 4.847371200000000000e+07 4.881470500000000000e+07 4.510032900000000000e+07
1.409410817880644551e+01 1.450430075669174990e+01 2.656250489635361589e+00 -6.895327525673269342e+00 4.980211223627479394e-03 6.873600000000000000e+07 9.919223400000000000e+07 9.729694900000000000e+07 9.600031500000000000e+07
